year,depth,mag,magType,net,id,updated,place,type,status,locationSource,magSource,,,,
1923,15,7,mw,iscgem,iscgem911301,2015-05-13T18:52:41.000Z,"Mindanao, Philippines",earthquake,automatic,iscgem,iscgem,,,,
1923,15,7,mw,iscgem,iscgem911322,2015-05-13T18:52:41.000Z,"western Sichuan, China",earthquake,automatic,iscgem,iscgem,,,,
1923,25,7,mw,iscgem,iscgem911354,2015-05-13T18:52:41.000Z,south of Alaska,earthquake,automatic,iscgem,iscgem,,,,
1923,25,7.2,mw,iscgem,iscgem911420,2015-05-13T18:52:41.000Z,Myanmar,earthquake,automatic,iscgem,iscgem,,,,
1923,35,7,mw,iscgemsup,iscgemsup911446,2015-07-13T17:02:22.000Z,"Kyushu, Japan",earthquake,automatic,iscgem,iscgem,,,,
1923,15,8.1,mw,iscgem,iscgem911526,2018-02-14T20:27:13.497Z,"near the south coast of Honshu, Japan",earthquake,automatic,iscgem,iscgem,,,,
1923,15,7.8,mw,iscgem,iscgem911591,2015-05-13T18:52:41.000Z,"near the south coast of Honshu, Japan",earthquake,automatic,iscgem,iscgem,,,,
1923,15,7.4,mw,iscgem,iscgem911676,2015-05-13T18:52:42.000Z,"Papua region, Indonesia",earthquake,automatic,iscgem,iscgem,,,,
1923,35,7,mw,iscgem,iscgem911715,2015-05-13T18:52:42.000Z,"New Ireland region, Papua New Guinea",earthquake,automatic,iscgem,iscgem,,,,
1924,15,7.1,mw,iscgem,iscgem910853,2015-05-13T18:52:42.000Z,Costa Rica,earthquake,automatic,iscgem,iscgem,,,,
1924,15,8,mw,iscgem,iscgem910911,2015-05-13T18:52:42.000Z,"Mindanao, Philippines",earthquake,automatic,iscgem,iscgem,,,,
1924,535,7.1,mw,iscgem,iscgem910936,2015-05-13T18:52:42.000Z,Fiji region,earthquake,automatic,iscgem,iscgem,,,,
1924,10,7.5,mw,iscgem,iscgem910998,2015-05-13T18:52:42.000Z,Macquarie Island region,earthquake,automatic,iscgem,iscgem,,,,
1924,10,7,mw,iscgem,iscgem911007,2015-05-13T18:52:42.000Z,"southern Xinjiang, China",earthquake,automatic,iscgem,iscgem,,,,
1924,10,7.2,mw,iscgemsup,iscgemsup911023,2015-07-13T17:02:22.000Z,"southern Xinjiang, China",earthquake,automatic,iscgem,iscgem,,,,
1924,15,7.1,mw,iscgem,iscgem911040,2015-05-13T18:52:42.000Z,north of Macquarie Island,earthquake,automatic,iscgem,iscgem,,,,
1924,15,7,mw,iscgem,iscgem911061,2015-05-13T18:52:42.000Z,"near the east coast of Honshu, Japan",earthquake,automatic,iscgem,iscgem,,,,
1924,15,7.1,mw,iscgem,iscgem911077,2015-05-13T18:52:42.000Z,"Mindanao, Philippines",earthquake,automatic,iscgem,iscgem,,,,
1925,35,7.2,mw,iscgem,iscgem910330,2015-05-13T18:52:42.000Z,Kuril Islands,earthquake,automatic,iscgem,iscgem,,,,
1925,35,7.2,mw,iscgem,iscgem910423,2015-05-13T18:52:42.000Z,Vanuatu,earthquake,automatic,iscgem,iscgem,,,,
1925,10,7.1,mw,iscgem,iscgem910440,2015-05-13T18:52:42.000Z,South Indian Ocean,earthquake,automatic,iscgem,iscgem,,,,
1925,15,7,mw,iscgem,iscgem910450,2015-05-13T18:52:42.000Z,Taiwan region,earthquake,automatic,iscgem,iscgem,,,,
1925,15,7.1,mw,iscgem,iscgem910473,2015-05-13T18:52:42.000Z,Molucca Sea,earthquake,automatic,iscgem,iscgem,,,,
1925,15,7,mw,iscgem,iscgem910524,2015-05-13T18:52:42.000Z,Molucca Sea,earthquake,automatic,iscgem,iscgem,,,,
1925,25,7,mw,iscgem,iscgem910532,2015-05-13T18:52:42.000Z,"New Guinea, Papua New Guinea",earthquake,automatic,iscgem,iscgem,,,,
1925,15,7,mw,iscgem,iscgem910653,2015-05-13T18:52:42.000Z,"Komandorskiye Ostrova, Russia region",earthquake,automatic,iscgem,iscgem,,,,
1925,10,7.2,mw,iscgem,iscgem910710,2015-05-13T18:52:42.000Z,northern Mid-Atlantic Ridge,earthquake,automatic,iscgem,iscgem,,,,
1925,15,7.3,mw,iscgem,iscgem910733,2015-05-13T18:52:42.000Z,"Papua region, Indonesia",earthquake,automatic,iscgem,iscgem,,,,
1925,20,7.2,mw,iscgem,iscgem910734,2015-05-13T18:52:42.000Z,"Samar, Philippines",earthquake,automatic,iscgem,iscgem,,,,
1925,15,7,mw,iscgem,iscgem910739,2015-05-13T18:52:42.000Z,"off the coast of Jalisco, Mexico",earthquake,automatic,iscgem,iscgem,,,,
1926,15,7.6,mw,iscgem,iscgem909720,2015-05-13T18:52:42.000Z,Solomon Islands,earthquake,automatic,iscgem,iscgem,,,,
1926,20,7.2,mw,iscgem,iscgem909737,2015-05-13T18:52:42.000Z,offshore El Salvador,earthquake,automatic,iscgem,iscgem,,,,
1926,10,7,mw,iscgem,iscgem909780,2015-05-13T18:52:42.000Z,South Sandwich Islands region,earthquake,automatic,iscgem,iscgem,,,,
1926,15,7,mw,iscgem,iscgem909794,2015-05-13T18:52:42.000Z,Solomon Islands,earthquake,automatic,iscgem,iscgem,,,,
1926,15,7.3,mw,iscgem,iscgem909810,2015-05-13T18:52:42.000Z,Solomon Islands,earthquake,automatic,iscgem,iscgem,,,,
